PLAYER NAME,TEAM,POS,AVG,BEST,WORST,# TEAMS,STDEV
Shohei Ohtani,LAD,"SP,DH",1.0,1,2,6,0.4
Aaron Judge,NYY,"LF,CF,RF,DH",1.8,1,2,6,0.4
Bobby Witt Jr.,KCR,SS,3.4,3,7,6,1.5
Juan Soto,NYM,"LF,RF",3.6,3,4,6,0.5
Jose Ramirez,CLE,"3B,DH",5.2,5,6,6,0.4
Tarik Skubal,DET,SP,5.8,5,8,6,1.2
Ronald Acuna Jr.,ATL,RF,7.0,6,9,6,1.3
Elly De La Cruz,CIN,SS,8.0,7,29,6,8.4
Paul Skenes,PIT,SP,9.2,4,11,6,2.7
Julio Rodriguez,SEA,CF,9.6,9,21,6,4.8
Garrett Crochet,BOS,SP,11.8,8,12,6,1.6
Kyle Tucker,LAD,"RF,DH",11.8,10,16,6,2.2
Cal Raleigh,SEA,"C,DH",13.4,10,19,6,3.3
Fernando Tatis Jr.,SDP,RF,13.8,13,19,6,2.6
Corbin Carroll,ARI,"CF,RF",14.8,10,18,6,3.0
Gunnar Henderson,BAL,SS,15.8,14,23,6,3.5
Junior Caminero,TBR,3B,16.6,15,17,6,0.8
Vladimir Guerrero Jr.,TOR,"1B,DH",18.4,15,20,6,2.0
Kyle Schwarber,PHI,"LF,DH",19.8,13,23,6,4.0
Jazz Chisholm Jr.,NYY,"2B,3B",21.8,20,44,6,9.2
Jackson Chourio,MIL,"LF,CF,RF",22.0,21,40,6,7.1
Francisco Lindor,NYM,SS,22.4,20,32,6,4.9
Yoshinobu Yamamoto,LAD,SP,24.6,12,27,6,5.6
Pete Alonso,BAL,1B,24.6,21,46,6,10.0
Ketel Marte,ARI,"2B,DH",27.4,14,31,6,6.4
Trea Turner,PHI,SS,27.6,25,72,6,18.6
Cristopher Sanchez,PHI,SP,28.0,20,33,6,4.9
Pete Crow-Armstrong,CHC,CF,29.6,24,47,6,9.1
Manny Machado,SDP,3B,30.6,27,32,6,2.4
James Wood,WSH,"LF,DH",32.0,26,81,6,22.0
Yordan Alvarez,HOU,"LF,DH",32.4,27,35,6,3.3
Zach Neto,LAA,SS,32.6,27,149,6,48.1
Hunter Brown,HOU,SP,35.6,28,40,6,4.6
Bryan Woo,SEA,SP,36.4,25,41,6,6.1
Matt Olson,ATL,1B,37.0,31,55,6,9.2
Bryce Harper,PHI,1B,37.6,31,62,6,12.0
Logan Gilbert,SEA,SP,38.8,19,42,6,8.9
Rafael Devers,SFG,"1B,DH",39.8,32,80,6,18.1
Chris Sale,ATL,SP,40.0,33,43,6,4.2
Brent Rooker,ATH,"LF,RF,DH",43.2,33,49,6,6.3
Mason Miller,SDP,RP,43.6,36,73,6,14.9
Edwin Diaz,LAD,RP,45.0,34,83,6,19.4
Mookie Betts,LAD,SS,45.6,35,51,6,6.5
Max Fried,NYY,SP,45.8,27,57,6,11.3
Brice Turang,MIL,2B,46.0,38,73,6,14.1
Hunter Greene,CIN,SP,46.6,44,180,6,54.6
Wyatt Langford,TEX,"LF,CF",46.6,41,87,6,17.8
Jacob deGrom,TEX,SP,48.2,43,57,6,5.6
Logan Webb,SFG,SP,48.4,22,59,6,13.4
Cole Ragans,KCR,SP,50.2,49,53,6,1.6
Freddie Freeman,LAD,1B,51.0,45,71,6,9.9
